t_index,term,df
1,aan,1
2,aaron,2
3,ab,1
4,aback,1
5,abahd,1
6,abandon,39
7,abat,1
8,abc,49
9,abcnew,3
10,abdallah,2
11,abdel,3
12,abdomin,2
13,abduct,2
14,abdul,16
15,abdullah,40
16,abdurahman,1
17,aberr,1
18,abhad,1
19,abhiyan,1
20,abhorr,2
21,abid,8
22,abidin,4
23,abidjan,36
24,abijan,1
25,abil,32
26,abl,105
27,ablaz,3
28,abnorm,1
29,aboard,93
30,abobo,3
31,abolish,4
32,abomin,1
33,abort,7
34,abou,1
35,abound,4
36,about,1
37,abovo,1
38,abraham,10
39,abreast,1
40,abrego,1
41,abroad,52
42,abrog,2
43,abrupt,1
44,abruptli,4
45,abscam,1
46,absenc,6
47,absent,4
48,absente,7
49,absentia,3
50,absolut,43
51,absorb,10
52,abstain,1
53,abstent,1
54,absurd,2
55,abu,7
56,abund,2
57,abus,29
58,abuzaakouk,1
59,abyan,5
60,abyssinian,1
61,ac,27
62,academ,6
63,academi,4
64,academia,1
65,acced,1
66,acceler,4
67,accent,2
68,accentu,2
69,accept,124
70,access,41
71,accid,32
72,accident,3
73,accommod,11
74,accompani,33
75,accomplic,5
76,accomplish,10
77,accord,145
78,accordingli,1
79,accordion,1
80,account,125
81,accredit,1
82,accumul,2
83,accur,14
84,accuraci,1
85,accus,131
86,accustom,2
87,acerb,2
88,achiev,32
89,acid,2
90,acknowledg,55
91,acolyt,1
92,acosta,1
93,acquaint,1
94,acquiesc,1
95,acquir,5
96,acquisit,1
97,acquit,5
98,acquitt,3
99,acr,1
100,acrimoni,2
101,acrobat,5
102,acronym,1
103,act,135
104,action,95
105,activ,90
106,activist,19
107,actor,4
108,actress,2
109,actual,66
110,ad,119
111,adam,8
112,adapt,5
113,add,18
114,adden,1
115,addit,71
116,addition,4
117,address,64
118,adem,1
119,aden,169
120,adequ,7
121,adher,4
122,adiksa,1
123,adjac,4
124,adjam,2
125,adjoin,3
126,adjourn,3
127,adjust,7
128,adlai,1
129,adm,44
130,admen,1
131,administ,9
132,administr,115
133,admir,38
134,admiralti,1
135,admiringli,1
136,admiss,2
137,admit,40
138,ado,2
139,adob,1
140,adolesc,2
141,adopt,17
142,adorn,1
143,adoubi,1
144,adra,1
145,adrain,1
146,adrenalin,1
147,adriat,1
148,adrift,4
149,adult,10
150,advanc,66
151,advani,1
152,advantag,21
153,adventist,1
154,adventur,2
155,advers,2
156,adversari,2
157,advertis,12
158,advic,6
159,advis,84
160,advisor,10
161,advisori,2
162,advoc,13
163,advocaci,2
164,aegi,5
165,aerial,3
166,aeroflot,1
167,af,1
168,affabl,1
169,affair,48
170,affect,29
171,affection,1
172,affili,6
173,affirm,6
174,afflict,1
175,afford,7
176,affront,2
177,afghan,17
178,afghanistan,46
179,afi,2
180,afibia,1
181,afield,1
182,afir,2
183,afl,2
184,afloat,13
185,afoul,1
186,afraid,28
187,afredo,1
188,africa,65
189,african,49
190,aft,3
191,aftehock,1
192,aftermath,14
193,afternoon,64
194,aftershock,43
195,afterward,11
196,afundament,1
197,ag,42
198,agarw,1
199,agassi,47
200,agbayani,1
201,agenc,117
202,agenda,14
203,agent,83
204,ager,8
205,agglomer,1
206,aggrav,12
207,aggress,24
208,agil,1
209,agit,1
210,ago,207
211,agon,6
212,agoni,3
213,agonizingli,1
214,agre,77
215,agreement,49
216,agricultur,15
217,agustin,1
218,ah,1
219,aha,1
220,ahead,53
221,ahemdabad,1
222,ahm,15
223,ahmad,1
224,ahmadabad,2
225,ahmar,1
226,ahmedabad,20
227,ahold,1
228,ahren,1
229,ai,1
230,aid,158
231,aida,2
232,ail,5
233,ailment,1
234,aim,35
235,ainst,1
236,air,175
237,aircraft,27
238,airdrop,2
239,airfield,1
240,airforc,1
241,airlift,4
242,airlin,6
243,airlock,1
244,airman,1
245,airmen,11
246,airplan,7
247,airport,49
248,airstrik,3
249,airtim,2
250,airwai,3
251,airwav,1
252,aisl,3
253,aj,1
254,ajax,1
255,ajnar,3
256,ajw,1
257,akaka,2
258,akan,2
259,akin,3
260,akishio,1
261,akouedo,1
262,al,108
263,ala,5
264,alabama,5
265,alain,1
266,alami,1
267,alamoudi,1
268,alan,5
269,alarm,19
270,alasan,1
271,alaska,3
272,alaskan,1
273,alassan,27
274,albani,1
275,albania,1
276,albanian,18
277,albeit,4
278,albert,1
279,alberto,66
280,albright,47
281,album,1
282,alce,3
283,alcohol,5
284,alehandr,1
285,alejandro,14
286,aleksa,1
287,aleksandar,6
288,aler,1
289,alert,62
290,alessio,4
291,alex,10
292,alexa,2
293,alexand,9
294,alexandria,1
295,alexei,1
296,alexeyev,1
297,alexsand,1
298,alfonso,1
299,alfr,2
300,alfredo,1
301,algeria,3
302,algerian,5
303,ali,44
304,alia,2
305,alibi,1
306,alien,3
307,alight,1
308,align,5
309,alija,1
310,alik,9
311,alisan,2
312,alisha,1
313,aliv,84
314,allafrica,1
315,allah,1
316,allahabad,2
317,allahbad,1
318,allan,1
319,alleg,72
320,allegedli,23
321,allegi,1
322,allei,2
323,allen,22
324,allentown,1
325,alleywai,3
326,alli,86
327,allianc,10
328,alliz,1
329,allot,1
330,allow,133
331,allud,2
332,allus,5
333,alma,1
334,almagor,1
335,alongsid,39
336,alou,1
337,alpha,2
338,alphabet,3
339,alpin,1
340,alter,8
341,altern,20
342,altitud,1
343,altogeth,4
344,aluminum,2
345,alun,6
346,amad,3
347,amanda,17
348,amarillo,2
349,amartej,3
350,amaru,4
351,amass,4
352,amateur,2
353,amaz,10
354,amazingli,1
355,ambassador,47
356,ambersag,1
357,ambigu,1
358,ambit,8
359,ambiti,2
360,ambival,2
361,ambul,11
362,ambush,1
363,ameli,6
364,amend,2
365,amerasian,1
366,america,128
367,american,353
368,americorp,1
369,amh,1
370,ami,2
371,amiabl,2
372,amic,1
373,amid,51
374,amidship,2
375,amin,1
376,amit,1
377,amman,2
378,ammo,1
379,ammonium,1
380,ammunit,22
381,amnesia,2
382,amnesti,2
383,amount,8
384,amp,5
385,amphibi,3
386,ampl,2
387,ampli,1
388,amplifi,1
389,amput,12
390,ana,7
391,anacostia,1
392,analges,1
393,analog,1
394,analysi,9
395,analyst,38
396,analyz,5
397,anarch,2
398,anathema,1
399,anatoli,8
400,anca,4
401,ancestor,3
402,ancestr,25
403,ancestri,1
404,anchor,8
405,anchorag,2
406,anchorman,3
407,ancient,4
408,andean,6
409,anderson,4
410,andi,5
411,andjelkov,1
412,andoslavia,1
413,andr,48
414,andrea,14
415,andrei,2
416,andrew,15
417,andrik,1
418,anew,7
419,angel,13
420,anger,46
421,angl,12
422,anglican,1
423,angri,27
424,angrili,4
425,anguish,8
426,anim,2
427,animist,2
428,animos,11
429,anjai,1
430,anjana,1
431,anjar,6
432,ank,2
433,ankl,9
434,ann,11
435,anna,21
436,annabel,1
437,annacon,1
438,annan,13
439,anniversari,15
440,annoi,1
441,announc,164
442,annoy,1
443,annual,18
444,annul,11
445,anomali,1
446,anonym,63
447,answer,51
448,antagon,1
449,antasiaovich,1
450,antenna,2
451,anthem,6
452,anthoni,27
453,anthropologist,2
454,anti,85
455,antiballist,1
456,antibiot,5
457,anticip,17
458,anticlimact,1
459,antonia,6
460,antonin,1
461,antonio,26
462,anwar,4
463,anxieti,3
464,anxiou,11
465,anxious,2
466,anybodi,14
467,anymor,9
468,anytim,4
469,aon,1
470,ap,21
471,apart,69
472,apec,4
473,apex,1
474,apolit,1
475,apolog,18
476,appal,1
477,appallingli,1
478,appar,193
479,apparatu,7
480,appeal,95
481,appear,196
482,appel,1
483,appetit,2
484,appl,3
485,applaud,10
486,applaus,8
487,appleton,2
488,appli,18
489,applic,16
490,appoint,68
491,appointe,3
492,apprais,2
493,appreci,16
494,apprehend,4
495,apprehens,2
496,apprentic,3
497,appris,1
498,approach,49
499,appropri,18
500,approv,25
501,approxim,12
502,april,67
503,aprista,4
504,apron,1
505,aquil,2
506,ar,5
507,arab,61
508,arabi,1
509,arabia,71
510,arabian,44
511,arafat,16
512,arantxa,3
513,arazi,7
514,arbadi,1
515,arbit,1
516,arbitrari,2
517,arbitrarili,1
518,arc,1
519,arch,2
520,archaeolog,2
521,archbishop,4
522,archer,1
523,archeri,4
524,archetyp,1
525,archi,5
526,archibald,1
527,architect,7
528,architectur,4
529,arctic,6
530,ardent,4
531,arduou,1
532,area,186
533,aren,16
534,arena,22
535,aretz,1
536,argentin,1
537,argentina,10
538,argu,45
539,arguabl,2
540,argument,18
541,ari,1
542,arid,5
543,arif,1
544,arisen,1
545,arithmet,1
546,aritomi,4
547,ariz,8
548,arizona,7
549,ark,8
550,arkadelphia,1
551,arkan,1
552,arkansa,28
553,arkin,2
